工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-20000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金/互联网金融/领导nice/年度旅游/公司氛围好/带薪年假/移动互联网/免费零食/年终分红,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000","Python工程师：
1.       接触Python一年以上,精通Python开发；
2.    熟悉python 中的web架构 django, web.py, Tornado、Flask、 Quxiote等其中一种常用Python开发框架；
3.    熟悉MySQLdb，paramiko，threading等模块；
4.       符合以下几类要求者优先:
a.精通Linux操作系统使用，熟悉Shell脚本编程语言；
b.精通MySQL、PostgreSQL、Oracle等关系数据库和数据库优化技术；
c.熟悉lighttpd,apache,mysql,sqlite中的一种或多种；",东莞光大·We谷
工作,薪水,工作标签,公司介绍,职位描述,工作地址
python,8000-13000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/免费班车/餐补/通讯补贴/交通补助/节日福利/零食下午茶/年度旅游/领导nice/公司氛围好/带薪年假/扁平管理,"【软通动力信息技术（集团）有限公司】
作为中国智慧城市与产业互联网（互联网+）建设的领导者，领先的创新型技术服务提供商，软通动力立足中国，服务全球。公司主营业务涵盖智慧业务与信息技术服务两大领域，具备端到端“软件 +服务”综合业务能力和强大的纵深服务优势。
在智慧业务领域","掌握python基础以及常用的的python库；
掌握Linux系统
熟悉PYTHON开发，大型软件系统",深圳龙岗区金荣达科技工业园六栋一楼
工作,薪水,工作标签,公司介绍,职位描述,工作地址
python,8000-12000元,五险一金/定期体检/年终奖/带薪年假/节日福利,"纬创软件是亚洲地区专业的软件外包服务及信息整合服务的的领导厂商，我们专注于技术顾问服务、软件外包服务、业务流程外包服务、以及产品全球化服务，全球有13个营业据点，客户包括世界500强企业以及跨国知名企业。

纬创软件的主要服务项目包括：技术顾问服务、软件外包服务、业务流程外包服务、及产品全球化服务。","职位名称：
Python开发工程师
任职要求：
1、python开发经验3年以上
2、熟悉linux常用的操作及命令
3、会Java开发优先
4、做过openstack开发优先
5、英语可读写，听说熟练优先
（薪资可谈）
薪资区间
8-15k
福利待遇
六险一金（公积金全额），年终奖1-2个月，带薪年假，员工旅游，体检，生日卡，节日福利，周末双休，午休2小时，每年固定的涨薪，半薪病假
面试流程
简历筛选 +电话面试（时间：30分钟-60分钟）+最终电话/现场面试
工作地点
大连高新园区科海街8号",大连市 甘井子区 科海街 8号
工作,薪水,工作标签,公司介绍,职位描述,工作地址
python,7000-12000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000",统招二本以上学历，计算机相关专业，实际做过python开发的，了解windows或者linux操作系统。,西安长安区西咸新区沣东新城协同创新港雨果A座
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,9000-14000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/交通补助/节日福利/零食下午茶,"【公司简介】
中软国际成立于2000年，为香港主板上市公司，股票代码354。中软国际是中国大型综合性软件与信息服务企业，提供从咨询、技术、外包的“端到端”软件及信息服务，涉及政府与制造、金融服务与银行、电信与高科技等主要信息技术垂直行业，服务遍布全球包括中国大陆地区、香港地","1年以上Python产品开发经验或者Python自动化脚本开发经验
统招二本学历，计算机相关专业
1、1年以上python开发经验； 2、熟练使用基本的数据结构和算法，深入理解多进程、多线程、网络编程等相关技术； 3、熟练掌握Django、Tornado、Flask等主流框架，深入理解框架实现原理及特性； 4、熟悉Python的高级特性，深入理解各种设计模式和应用场景；熟悉Python的性能分析和优化； 5、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范； 6、熟悉分布式、缓存、消息等机制者优先； 7、具有良好的沟通能力、团队合作能力和学习能力； 8、熟悉云计算及虚拟化技术者优先；",西安市 雁塔区 中软国际西安科技园 云水一路与天谷八路交叉口
工作,薪水,工作标签,公司介绍,职位描述,工作地址
